,AP689,AG083,AZ649,CA186,CA969,AP707
99,1039.025,1038.95,1039.225,1038.825,1038.95,1038.45
100,1038.825,1038.825,1038.95,1038.95,1038.7,1038.525
101,1038.65,1038.95,1038.825,1038.7,1038.525,1038.65
102,1038.5,1038.7,1038.95,1038.525,1038.45,1038.575
103,1038.5,1038.525,1038.7,1038.45,1038.525,1038.575
104,1038.325,1038.45,1038.525,1038.525,1038.65,1038.575
105,1038.575,1038.525,1038.45,1038.65,1038.575,1038.7
106,1038.625,1038.65,1038.525,1038.575,1038.575,1038.575
107,1038.375,1038.575,1038.65,1038.575,1038.575,1038.7
108,1038.375,1038.575,1038.575,1038.575,1038.7,1038.875
109,1038.375,1038.575,1038.575,1038.7,1038.575,1039.025
110,1038.325,1038.7,1038.575,1038.575,1038.7,1038.825
111,1038.45,1038.575,1038.7,1038.7,1038.875,1038.65
112,1038.375,1038.7,1038.575,1038.875,1039.025,1038.5
113,1038.375,1038.875,1038.7,1039.025,1038.825,1038.5
114,1038.45,1039.025,1038.875,1038.825,1038.65,1038.325
115,1038.5,1038.825,1039.025,1038.65,1038.5,1038.575
116,1038.5,1038.65,1038.825,1038.5,1038.5,1038.625
117,1038.625,1038.5,1038.65,1038.5,1038.325,1038.375
118,1038.625,1038.5,1038.5,1038.325,1038.575,1038.375
119,1038.625,1038.325,1038.5,1038.575,1038.625,1038.375
120,1038.5,1038.575,1038.325,1038.625,1038.375,1038.325
121,1038.625,1038.625,1038.575,1038.375,1038.375,1038.45
122,1038.75,1038.375,1038.625,1038.375,1038.375,1038.375
123,1038.75,1038.375,1038.375,1038.375,1038.325,1038.375
124,1038.75,1038.375,1038.375,1038.325,1038.45,1038.45
125,1038.75,1038.325,1038.375,1038.45,1038.375,1038.5
126,1038.7,1038.45,1038.325,1038.375,1038.375,1038.5
127,1038.625,1038.375,1038.45,1038.375,1038.45,1038.625
128,1038.7,1038.375,1038.375,1038.45,1038.5,1038.625
129,1038.675,1038.45,1038.375,1038.5,1038.5,1038.625
130,1038.575,1038.5,1038.45,1038.5,1038.625,1038.5
